Target,Model,Condition,N_paired,ΔMAE (RAG-Base),ΔRMSE (RAG-Base),ΔPearson_r (RAG-Base),ΔSpearman_rho (RAG-Base)
label_ideology,Ministral-3-3B-Instruct-2512,qwen3/twostage,767,-0.1628,-0.2435,-0.0083,0.0362
label_ideology,Ministral-3-8B-Instruct-2512,bge/hyde,763,0.036,0.2006,-0.0424,-0.021
label_ideology,Ministral-3-8B-Instruct-2512,bge/hyde_hybrid,756,0.0624,0.2567,-0.0608,-0.036
label_ideology,Ministral-3-8B-Instruct-2512,bge/simple,765,0.02,0.1721,-0.0336,-0.0111
label_ideology,Ministral-3-8B-Instruct-2512,bge/simple_hybrid,752,0.058,0.2074,-0.0334,-0.0154
label_ideology,Ministral-3-8B-Instruct-2512,bge/twostage,769,0.0211,0.0802,-0.0067,-0.0075
label_ideology,Ministral-3-8B-Instruct-2512,bge/twostage_hybrid,775,-0.0101,-0.0182,0.0066,0.0076
label_ideology,Ministral-3-8B-Instruct-2512,e5/hyde,755,0.0041,0.141,-0.0235,-0.0095
label_ideology,Ministral-3-8B-Instruct-2512,e5/simple,760,0.0057,0.1386,-0.0119,-0.0002
label_ideology,Ministral-3-8B-Instruct-2512,e5/twostage,757,0.0663,0.2419,-0.039,-0.0053
label_ideology,Ministral-3-8B-Instruct-2512,jina/hyde,763,0.0903,0.2626,-0.0718,-0.0477
label_ideology,Ministral-3-8B-Instruct-2512,jina/simple,759,0.0872,0.237,-0.0345,-0.0171
label_ideology,Ministral-3-8B-Instruct-2512,jina/twostage,752,0.0303,0.176,-0.0259,-0.0165
label_ideology,Ministral-3-8B-Instruct-2512,qwen3/hyde,768,0.0215,0.1756,-0.0283,-0.0089
label_ideology,Ministral-3-8B-Instruct-2512,qwen3/simple,758,-0.0189,0.124,-0.0143,-0.0034
label_ideology,Ministral-3-8B-Instruct-2512,qwen3/twostage,760,-0.0021,0.1623,-0.0111,0.0172
label_ideology,Qwen2.5-3B-Instruct,bge/hyde,775,0.0861,0.037,-0.0685,-0.0262
label_ideology,Qwen2.5-3B-Instruct,bge/hyde_hybrid,774,0.0829,0.0462,-0.0663,0.0056
label_ideology,Qwen2.5-3B-Instruct,bge/simple,775,0.0785,0.0285,0.0525,0.0601
label_ideology,Qwen2.5-3B-Instruct,bge/simple_hybrid,774,0.0634,0.0123,0.1149,0.1067
label_ideology,Qwen2.5-3B-Instruct,bge/twostage,775,0.0852,0.0309,0.0247,0.0573
label_ideology,Qwen2.5-3B-Instruct,bge/twostage_hybrid,775,0.0964,0.0394,0.0177,0.036
label_ideology,Qwen2.5-3B-Instruct,e5/hyde,775,0.0655,0.0054,-0.0264,0.0165
label_ideology,Qwen2.5-3B-Instruct,e5/simple,773,0.0785,0.022,0.0404,0.057
label_ideology,Qwen2.5-3B-Instruct,e5/twostage,773,0.081,0.0172,0.0722,0.0847
label_ideology,Qwen2.5-3B-Instruct,jina/hyde,544,0.08,0.0287,0.0293,0.0628
label_ideology,Qwen2.5-3B-Instruct,jina/simple,774,0.0802,0.025,0.0516,0.0754
label_ideology,Qwen2.5-3B-Instruct,jina/twostage,775,0.0769,0.0269,0.095,0.0904
label_ideology,Qwen2.5-3B-Instruct,qwen3/hyde,775,0.08,0.0231,0.0247,0.0568
label_ideology,Qwen2.5-3B-Instruct,qwen3/simple,775,0.091,0.0396,0.0436,0.0458
label_ideology,Qwen2.5-3B-Instruct,qwen3/twostage,775,0.0666,0.0148,0.1004,0.114
label_ideology,Qwen2.5-7B-Instruct,bge/hyde,774,-0.0092,0.141,0.0334,0.0353
label_ideology,Qwen2.5-7B-Instruct,bge/hyde_hybrid,774,0.0607,0.2316,-0.026,-0.0179
label_ideology,Qwen2.5-7B-Instruct,bge/simple,774,0.0482,0.227,-0.0017,-0.0267
label_ideology,Qwen2.5-7B-Instruct,bge/simple_hybrid,774,0.0636,0.249,-0.0022,-0.0187
label_ideology,Qwen2.5-7B-Instruct,bge/twostage,773,0.0937,0.259,-0.039,-0.0712
label_ideology,Qwen2.5-7B-Instruct,bge/twostage_hybrid,774,0.0977,0.2866,-0.0358,-0.0513
label_ideology,Qwen2.5-7B-Instruct,e5/hyde,774,0.0713,0.224,0.0188,-0.0051
label_ideology,Qwen2.5-7B-Instruct,e5/simple,773,0.0554,0.2085,0.047,0.0391
label_ideology,Qwen2.5-7B-Instruct,e5/twostage,771,0.0431,0.2142,0.0274,-0.0021
label_ideology,Qwen2.5-7B-Instruct,jina/hyde,774,0.0435,0.2432,0.0068,-0.0127
label_ideology,Qwen2.5-7B-Instruct,jina/simple,773,0.0395,0.223,0.0313,0.0
label_ideology,Qwen2.5-7B-Instruct,jina/twostage,774,0.0685,0.2643,-0.0229,-0.0395
label_ideology,Qwen2.5-7B-Instruct,qwen3/hyde,773,0.0246,0.1806,0.0211,0.0048
label_ideology,Qwen2.5-7B-Instruct,qwen3/simple,774,0.0242,0.2041,0.0132,0.01
label_ideology,Qwen2.5-7B-Instruct,qwen3/twostage,772,0.0952,0.2864,-0.0275,-0.0422
