Target,Model,Condition,N_samples,MAE,RMSE,Pearson_r,Spearman_rho
label_ideology,Meta-Llama-3.1-70B-Instruct-FP8,e5/hyde,775,1.2179,1.6722,0.4148,0.4055
label_ideology,Meta-Llama-3.1-70B-Instruct-FP8,e5/simple,775,1.2115,1.6945,0.3996,0.4029
label_ideology,Meta-Llama-3.1-70B-Instruct-FP8,e5/twostage,775,1.1804,1.6325,0.4547,0.4351
label_ideology,Meta-Llama-3.1-70B-Instruct-FP8,jina/hyde,775,1.2061,1.669,0.4189,0.4163
label_ideology,Meta-Llama-3.1-70B-Instruct-FP8,jina/simple,775,1.2272,1.7029,0.3936,0.3854
label_ideology,Meta-Llama-3.1-70B-Instruct-FP8,jina/twostage,775,1.1939,1.6713,0.4052,0.4014
label_ideology,Meta-Llama-3.1-70B-Instruct-FP8,qwen3/hyde,775,1.1987,1.695,0.3829,0.4005
label_ideology,Meta-Llama-3.1-70B-Instruct-FP8,qwen3/simple,775,1.1354,1.6175,0.4541,0.45
label_ideology,Meta-Llama-3.1-70B-Instruct-FP8,qwen3/twostage,775,1.1963,1.6689,0.4117,0.425
label_ideology,Ministral-3-14B-Instruct-2512,bge/hyde,773,0.9749,1.4615,0.6274,0.5708
label_ideology,Ministral-3-14B-Instruct-2512,bge/hyde_hybrid,771,0.987,1.4654,0.6253,0.5664
label_ideology,Ministral-3-14B-Instruct-2512,bge/simple,772,0.9237,1.3712,0.6682,0.5995
label_ideology,Ministral-3-14B-Instruct-2512,bge/simple_hybrid,770,0.9531,1.3845,0.6726,0.6036
label_ideology,Ministral-3-14B-Instruct-2512,bge/twostage,770,0.9338,1.3792,0.6714,0.6165
label_ideology,Ministral-3-14B-Instruct-2512,bge/twostage_hybrid,770,0.9318,1.3638,0.6762,0.6017
label_ideology,Ministral-3-14B-Instruct-2512,e5/twostage,768,0.9234,1.3474,0.6826,0.6168
label_ideology,Ministral-3-14B-Instruct-2512,jina/hyde,773,0.94,1.3893,0.679,0.6374
label_ideology,Ministral-3-14B-Instruct-2512,jina/simple,771,0.9551,1.4156,0.6588,0.6041
label_ideology,Ministral-3-14B-Instruct-2512,jina/twostage,761,0.9574,1.404,0.6629,0.6063
label_ideology,Ministral-3-14B-Instruct-2512,qwen3/hyde,770,0.987,1.4615,0.6351,0.5862
label_ideology,Ministral-3-14B-Instruct-2512,qwen3/simple,773,0.9176,1.3167,0.6966,0.6296
label_ideology,Ministral-3-14B-Instruct-2512,qwen3/twostage,772,0.925,1.358,0.6703,0.6074
label_ideology,Ministral-3-3B-Instruct-2512,no_rag,774,1.4917,1.9378,0.4831,0.4407
label_ideology,Ministral-3-3B-Instruct-2512,bge/hyde,772,1.3395,1.7065,0.4819,0.4725
label_ideology,Ministral-3-3B-Instruct-2512,bge/hyde_hybrid,768,1.3408,1.702,0.4938,0.4693
label_ideology,Ministral-3-3B-Instruct-2512,bge/simple,772,1.3374,1.717,0.4833,0.4837
label_ideology,Ministral-3-3B-Instruct-2512,bge/simple_hybrid,771,1.3464,1.7105,0.4738,0.4746
label_ideology,Ministral-3-3B-Instruct-2512,bge/twostage,770,1.3247,1.6774,0.5202,0.5176
label_ideology,Ministral-3-3B-Instruct-2512,bge/twostage_hybrid,769,1.3914,1.7541,0.4603,0.4683
label_ideology,Ministral-3-3B-Instruct-2512,e5/hyde,766,1.3645,1.7622,0.4266,0.4232
label_ideology,Ministral-3-3B-Instruct-2512,e5/simple,762,1.3432,1.7305,0.4611,0.4621
label_ideology,Ministral-3-3B-Instruct-2512,e5/twostage,771,1.3336,1.7017,0.4774,0.4824
label_ideology,Ministral-3-3B-Instruct-2512,jina/hyde,606,1.3894,1.7986,0.4149,0.4343
label_ideology,Ministral-3-3B-Instruct-2512,jina/simple,772,1.4402,1.8654,0.3905,0.4092
label_ideology,Ministral-3-3B-Instruct-2512,jina/twostage,768,1.3699,1.7445,0.4734,0.4727
label_ideology,Ministral-3-3B-Instruct-2512,qwen3/hyde,769,1.2718,1.6319,0.5148,0.5092
label_ideology,Ministral-3-3B-Instruct-2512,qwen3/simple,764,1.3136,1.6936,0.4744,0.472
label_ideology,Ministral-3-3B-Instruct-2512,qwen3/twostage,768,1.3286,1.6929,0.4763,0.4784
label_ideology,Ministral-3-8B-Instruct-2512,no_rag,775,1.3111,1.7298,0.6084,0.5872
label_ideology,Ministral-3-8B-Instruct-2512,bge/hyde,763,1.3442,1.9263,0.5676,0.5702
label_ideology,Ministral-3-8B-Instruct-2512,bge/hyde_hybrid,756,1.3634,1.9803,0.5494,0.553
label_ideology,Ministral-3-8B-Instruct-2512,bge/simple,765,1.323,1.8902,0.5818,0.5813
label_ideology,Ministral-3-8B-Instruct-2512,bge/simple_hybrid,752,1.3729,1.9441,0.5731,0.57
label_ideology,Ministral-3-8B-Instruct-2512,bge/twostage,769,1.3365,1.8147,0.5984,0.5769
label_ideology,Ministral-3-8B-Instruct-2512,bge/twostage_hybrid,775,1.301,1.7115,0.615,0.5947
label_ideology,Ministral-3-8B-Instruct-2512,e5/hyde,755,1.3207,1.8794,0.5807,0.5732
label_ideology,Ministral-3-8B-Instruct-2512,e5/simple,760,1.3212,1.8763,0.5977,0.5874
label_ideology,Ministral-3-8B-Instruct-2512,e5/twostage,757,1.3742,1.97,0.576,0.5877
label_ideology,Ministral-3-8B-Instruct-2512,jina/hyde,763,1.3953,1.9909,0.5371,0.5412
label_ideology,Ministral-3-8B-Instruct-2512,jina/simple,759,1.3992,1.9706,0.5713,0.5676
label_ideology,Ministral-3-8B-Instruct-2512,jina/twostage,752,1.3352,1.9021,0.5868,0.5763
label_ideology,Ministral-3-8B-Instruct-2512,qwen3/hyde,768,1.3346,1.9092,0.5801,0.5788
label_ideology,Ministral-3-8B-Instruct-2512,qwen3/simple,758,1.2875,1.8491,0.5966,0.5857
label_ideology,Ministral-3-8B-Instruct-2512,qwen3/twostage,760,1.3093,1.8949,0.5973,0.6049
label_ideology,Qwen2.5-32B-Instruct,no_rag,775,1.4272,1.6603,0.4988,0.5259
label_ideology,Qwen2.5-32B-Instruct,bge/hyde,499,1.1964,1.4555,0.5972,0.5615
label_ideology,Qwen2.5-32B-Instruct,bge/hyde_hybrid,498,1.1942,1.4603,0.6068,0.5719
label_ideology,Qwen2.5-32B-Instruct,bge/simple,775,1.2019,1.4881,0.5726,0.5882
label_ideology,Qwen2.5-32B-Instruct,bge/simple_hybrid,499,1.2283,1.4802,0.6056,0.5815
label_ideology,Qwen2.5-32B-Instruct,bge/twostage,499,1.1735,1.4107,0.6596,0.6263
label_ideology,Qwen2.5-32B-Instruct,bge/twostage_hybrid,775,1.2436,1.5342,0.5438,0.546
label_ideology,Qwen2.5-32B-Instruct,e5/hyde,775,1.2292,1.516,0.5461,0.5493
label_ideology,Qwen2.5-32B-Instruct,e5/simple,775,1.2012,1.4804,0.5761,0.5759
label_ideology,Qwen2.5-32B-Instruct,e5/twostage,775,1.2077,1.4845,0.5737,0.5799
label_ideology,Qwen2.5-32B-Instruct,jina/hyde,775,1.1941,1.5051,0.5617,0.5618
label_ideology,Qwen2.5-32B-Instruct,jina/simple,775,1.1934,1.4706,0.5987,0.6009
label_ideology,Qwen2.5-32B-Instruct,jina/twostage,775,1.2481,1.537,0.5254,0.5248
label_ideology,Qwen2.5-32B-Instruct,qwen3/hyde,775,1.1409,1.4062,0.629,0.6196
label_ideology,Qwen2.5-32B-Instruct,qwen3/simple,775,1.1653,1.4634,0.5794,0.5898
label_ideology,Qwen2.5-32B-Instruct,qwen3/twostage,775,1.2271,1.5101,0.5502,0.5675
label_ideology,Qwen2.5-3B-Instruct,no_rag,775,1.7126,1.9624,0.0605,-0.0031
label_ideology,Qwen2.5-3B-Instruct,bge/hyde,775,1.7987,1.9993,-0.0079,-0.0292
label_ideology,Qwen2.5-3B-Instruct,bge/hyde_hybrid,774,1.7946,2.0078,-0.0057,0.0021
label_ideology,Qwen2.5-3B-Instruct,bge/simple,775,1.7911,1.9909,0.113,0.057
label_ideology,Qwen2.5-3B-Instruct,bge/simple_hybrid,774,1.7765,1.9752,0.1754,0.1032
label_ideology,Qwen2.5-3B-Instruct,bge/twostage,775,1.7978,1.9932,0.0853,0.0542
label_ideology,Qwen2.5-3B-Instruct,bge/twostage_hybrid,775,1.809,2.0018,0.0783,0.0329
label_ideology,Qwen2.5-3B-Instruct,e5/hyde,775,1.7782,1.9678,0.0342,0.0134
label_ideology,Qwen2.5-3B-Instruct,e5/simple,773,1.7942,1.9866,0.1003,0.0551
label_ideology,Qwen2.5-3B-Instruct,e5/twostage,773,1.7951,1.9812,0.1285,0.0788
label_ideology,Qwen2.5-3B-Instruct,jina/hyde,544,1.7676,1.9623,0.1594,0.1055
label_ideology,Qwen2.5-3B-Instruct,jina/simple,774,1.7906,1.9846,0.1164,0.0757
label_ideology,Qwen2.5-3B-Instruct,jina/twostage,775,1.7895,1.9892,0.1555,0.0873
label_ideology,Qwen2.5-3B-Instruct,qwen3/hyde,775,1.7926,1.9855,0.0853,0.0537
label_ideology,Qwen2.5-3B-Instruct,qwen3/simple,775,1.8036,2.002,0.1042,0.0427
label_ideology,Qwen2.5-3B-Instruct,qwen3/twostage,775,1.7792,1.9772,0.1609,0.111
label_ideology,Qwen2.5-7B-Instruct,no_rag,774,1.4363,1.7116,0.3646,0.2347
label_ideology,Qwen2.5-7B-Instruct,bge/hyde,775,1.4255,1.8514,0.3994,0.2721
label_ideology,Qwen2.5-7B-Instruct,bge/hyde_hybrid,775,1.4954,1.9419,0.3401,0.219
label_ideology,Qwen2.5-7B-Instruct,bge/simple,775,1.483,1.9374,0.3643,0.2102
label_ideology,Qwen2.5-7B-Instruct,bge/simple_hybrid,775,1.5034,1.9651,0.3604,0.2136
label_ideology,Qwen2.5-7B-Instruct,bge/twostage,774,1.5314,1.9716,0.3226,0.1606
label_ideology,Qwen2.5-7B-Instruct,bge/twostage_hybrid,775,1.5348,1.9985,0.3291,0.1836
label_ideology,Qwen2.5-7B-Instruct,e5/hyde,775,1.5098,1.9377,0.3827,0.228
label_ideology,Qwen2.5-7B-Instruct,e5/simple,774,1.4934,1.9213,0.4118,0.2741
label_ideology,Qwen2.5-7B-Instruct,e5/twostage,772,1.4845,1.9326,0.3832,0.224
label_ideology,Qwen2.5-7B-Instruct,jina/hyde,775,1.4795,1.954,0.3724,0.2236
label_ideology,Qwen2.5-7B-Instruct,jina/simple,774,1.4718,1.9305,0.399,0.2396
label_ideology,Qwen2.5-7B-Instruct,jina/twostage,775,1.5083,1.9803,0.3396,0.1928
label_ideology,Qwen2.5-7B-Instruct,qwen3/hyde,774,1.4627,1.8935,0.3858,0.2397
label_ideology,Qwen2.5-7B-Instruct,qwen3/simple,775,1.464,1.9204,0.3756,0.2421
label_ideology,Qwen2.5-7B-Instruct,qwen3/twostage,773,1.5338,1.9998,0.334,0.1897
label_ideology,llama-3.1-70b-instruct,no_rag,775,0.9382,1.3376,0.6872,0.6262
label_ideology,mistral-large-2512,no_rag,775,1.0499,1.3229,0.7386,0.6906
label_ideology,qwen-2.5-72b-instruct,no_rag,440,1.2559,1.4824,0.7374,0.6487
