Target,Model,Condition,N_samples,MAE,RMSE,Pearson_r,Spearman_rho
label_ideology,Ministral-3-14B-Instruct-2512,jina/twostage,761,0.9574,1.404,0.6629,0.6063
label_ideology,Ministral-3-14B-Instruct-2512,qwen3/hyde,770,0.987,1.4615,0.6351,0.5862
label_ideology,Ministral-3-14B-Instruct-2512,qwen3/simple,773,0.9176,1.3167,0.6966,0.6296
label_ideology,Ministral-3-14B-Instruct-2512,qwen3/twostage,772,0.925,1.358,0.6703,0.6074
label_ideology,Ministral-3-3B-Instruct-2512,no_rag,774,1.4917,1.9378,0.4831,0.4407
label_ideology,Ministral-3-3B-Instruct-2512,bge/hyde,1544,1.3455,1.7193,0.4806,0.463
label_ideology,Ministral-3-3B-Instruct-2512,bge/hyde_hybrid,1536,1.3674,1.7628,0.471,0.454
label_ideology,Ministral-3-3B-Instruct-2512,bge/simple,1541,1.3357,1.7148,0.485,0.4869
label_ideology,Ministral-3-3B-Instruct-2512,bge/simple_hybrid,1542,1.3434,1.7013,0.4793,0.478
label_ideology,Ministral-3-3B-Instruct-2512,bge/twostage,1345,1.3057,1.6593,0.5375,0.5406
label_ideology,Ministral-3-3B-Instruct-2512,bge/twostage_hybrid,769,1.3914,1.7541,0.4603,0.4683
label_ideology,Ministral-3-3B-Instruct-2512,e5/hyde,766,1.3645,1.7622,0.4266,0.4232
label_ideology,Ministral-3-3B-Instruct-2512,e5/simple,762,1.3432,1.7305,0.4611,0.4621
label_ideology,Ministral-3-3B-Instruct-2512,e5/twostage,771,1.3336,1.7017,0.4774,0.4824
label_ideology,Ministral-3-3B-Instruct-2512,jina/hyde,606,1.3894,1.7986,0.4149,0.4343
label_ideology,Ministral-3-3B-Instruct-2512,jina/simple,772,1.4402,1.8654,0.3905,0.4092
label_ideology,Ministral-3-3B-Instruct-2512,jina/twostage,768,1.3699,1.7445,0.4734,0.4727
label_ideology,Ministral-3-3B-Instruct-2512,qwen3/hyde,769,1.2718,1.6319,0.5148,0.5092
label_ideology,Ministral-3-3B-Instruct-2512,qwen3/simple,764,1.3136,1.6936,0.4744,0.472
label_ideology,Ministral-3-3B-Instruct-2512,qwen3/twostage,768,1.3286,1.6929,0.4763,0.4784
label_ideology,Ministral-3-8B-Instruct-2512,no_rag,775,1.3111,1.7298,0.6084,0.5872
label_ideology,Ministral-3-8B-Instruct-2512,bge/hyde,763,1.3442,1.9263,0.5676,0.5702
label_ideology,Ministral-3-8B-Instruct-2512,bge/hyde_hybrid,756,1.3634,1.9803,0.5494,0.553
label_ideology,Ministral-3-8B-Instruct-2512,bge/simple,765,1.323,1.8902,0.5818,0.5813
label_ideology,Ministral-3-8B-Instruct-2512,bge/simple_hybrid,752,1.3729,1.9441,0.5731,0.57
label_ideology,Ministral-3-8B-Instruct-2512,bge/twostage,769,1.3365,1.8147,0.5984,0.5769
label_ideology,Ministral-3-8B-Instruct-2512,bge/twostage_hybrid,775,1.301,1.7115,0.615,0.5947
label_ideology,Ministral-3-8B-Instruct-2512,e5/hyde,755,1.3207,1.8794,0.5807,0.5732
label_ideology,Ministral-3-8B-Instruct-2512,e5/simple,760,1.3212,1.8763,0.5977,0.5874
label_ideology,Ministral-3-8B-Instruct-2512,e5/twostage,757,1.3742,1.97,0.576,0.5877
label_ideology,Ministral-3-8B-Instruct-2512,jina/hyde,763,1.3953,1.9909,0.5371,0.5412
label_ideology,Ministral-3-8B-Instruct-2512,jina/simple,759,1.3992,1.9706,0.5713,0.5676
label_ideology,Ministral-3-8B-Instruct-2512,jina/twostage,752,1.3352,1.9021,0.5868,0.5763
label_ideology,Ministral-3-8B-Instruct-2512,qwen3/hyde,768,1.3346,1.9092,0.5801,0.5788
label_ideology,Ministral-3-8B-Instruct-2512,qwen3/simple,758,1.2875,1.8491,0.5966,0.5857
label_ideology,Ministral-3-8B-Instruct-2512,qwen3/twostage,760,1.3093,1.8949,0.5973,0.6049
label_ideology,Qwen2.5-3B-Instruct,no_rag,775,1.7126,1.9624,0.0605,-0.0031
label_ideology,Qwen2.5-3B-Instruct,bge/hyde,775,1.7987,1.9993,-0.0079,-0.0292
label_ideology,Qwen2.5-3B-Instruct,bge/hyde_hybrid,774,1.7946,2.0078,-0.0057,0.0021
label_ideology,Qwen2.5-3B-Instruct,bge/simple,775,1.7911,1.9909,0.113,0.057
label_ideology,Qwen2.5-3B-Instruct,bge/simple_hybrid,774,1.7765,1.9752,0.1754,0.1032
label_ideology,Qwen2.5-3B-Instruct,bge/twostage,775,1.7978,1.9932,0.0853,0.0542
label_ideology,Qwen2.5-3B-Instruct,bge/twostage_hybrid,775,1.809,2.0018,0.0783,0.0329
label_ideology,Qwen2.5-3B-Instruct,e5/hyde,775,1.7782,1.9678,0.0342,0.0134
label_ideology,Qwen2.5-3B-Instruct,e5/simple,773,1.7942,1.9866,0.1003,0.0551
label_ideology,Qwen2.5-3B-Instruct,e5/twostage,773,1.7951,1.9812,0.1285,0.0788
label_ideology,Qwen2.5-3B-Instruct,jina/hyde,544,1.7676,1.9623,0.1594,0.1055
label_ideology,Qwen2.5-3B-Instruct,jina/simple,774,1.7906,1.9846,0.1164,0.0757
label_ideology,Qwen2.5-3B-Instruct,jina/twostage,775,1.7895,1.9892,0.1555,0.0873
label_ideology,Qwen2.5-3B-Instruct,qwen3/hyde,775,1.7926,1.9855,0.0853,0.0537
label_ideology,Qwen2.5-3B-Instruct,qwen3/simple,775,1.8036,2.002,0.1042,0.0427
label_ideology,Qwen2.5-3B-Instruct,qwen3/twostage,775,1.7792,1.9772,0.1609,0.111
label_ideology,Qwen2.5-7B-Instruct,no_rag,774,1.4363,1.7116,0.3646,0.2347
label_ideology,Qwen2.5-7B-Instruct,bge/hyde,775,1.4255,1.8514,0.3994,0.2721
label_ideology,Qwen2.5-7B-Instruct,bge/hyde_hybrid,775,1.4954,1.9419,0.3401,0.219
label_ideology,Qwen2.5-7B-Instruct,bge/simple,775,1.483,1.9374,0.3643,0.2102
label_ideology,Qwen2.5-7B-Instruct,bge/simple_hybrid,775,1.5034,1.9651,0.3604,0.2136
label_ideology,Qwen2.5-7B-Instruct,bge/twostage,774,1.5314,1.9716,0.3226,0.1606
label_ideology,Qwen2.5-7B-Instruct,bge/twostage_hybrid,775,1.5348,1.9985,0.3291,0.1836
label_ideology,Qwen2.5-7B-Instruct,e5/hyde,775,1.5098,1.9377,0.3827,0.228
label_ideology,Qwen2.5-7B-Instruct,e5/simple,774,1.4934,1.9213,0.4118,0.2741
label_ideology,Qwen2.5-7B-Instruct,e5/twostage,772,1.4845,1.9326,0.3832,0.224
label_ideology,Qwen2.5-7B-Instruct,jina/hyde,817,1.464,1.9351,0.3841,0.2353
label_ideology,Qwen2.5-7B-Instruct,jina/simple,774,1.4718,1.9305,0.399,0.2396
label_ideology,Qwen2.5-7B-Instruct,jina/twostage,775,1.5083,1.9803,0.3396,0.1928
label_ideology,Qwen2.5-7B-Instruct,qwen3/hyde,774,1.4627,1.8935,0.3858,0.2397
label_ideology,Qwen2.5-7B-Instruct,qwen3/simple,775,1.464,1.9204,0.3756,0.2421
label_ideology,Qwen2.5-7B-Instruct,qwen3/twostage,773,1.5338,1.9998,0.334,0.1897
label_ideology,llama-3.1-70b-instruct,no_rag,775,0.9382,1.3376,0.6872,0.6262
label_ideology,mistral-large-2512,no_rag,775,1.0499,1.3229,0.7386,0.6906
label_ideology,qwen-2.5-72b-instruct,no_rag,440,1.2559,1.4824,0.7374,0.6487
